id,city_id,location_id,camera_id,co,no2,so2,o3,pm25,pm10,temp,hum,time,ver,lat,lon,created
13,2,285,1378,4.09,0.05,0,0.37,37,40,17.31,22.88,12/10/22 17:59,-1,43.203173,76.86691,12/10/22 11:59
17,2,802,4429,11.3,0,0,1.05,69,78,17.69,24.81,12/10/22 17:59,-1,43.241658,76.93755,12/10/22 11:59
19,2,9,450,12.8,6.01,0,0.39,84,96,17.62,27.03,12/10/22 17:59,-1,43.212825,76.920813,12/10/22 11:59
10,2,781,5779,10.6,5.55,0,0.76,64,72,18.66,23.8,12/10/22 17:59,-1,43.214086,76.898003,12/10/22 11:59
12,2,780,4571,6.09,0,0,0.57,47,54,17.76,21.67,12/10/22 17:59,-1,43.199581,76.894464,12/10/22 11:59
15,2,2,420,10,0,0,0.85,41,44,18.61,19.51,12/10/22 17:59,-1,43.238362,76.889989,12/10/22 11:59
14,2,337,1724,10.69,4.84,0,0.99,41,49,18.4,22.72,12/10/22 17:59,-1,43.24417,76.915991,12/10/22 11:59
18,2,741,4553,8.5,1.03,0,0,72,85,17.65,23.79,12/10/22 17:59,-1,43.237604,76.934758,12/10/22 11:59
11,2,334,1695,9.8,0.83,0,0.73,40,46,18.76,20.35,12/10/22 17:59,-1,43.235258,76.90451,12/10/22 11:59
13,2,285,1378,4.09,0.05,0,0.36,37,40,17.31,22.86,12/10/22 17:59,-1,43.203173,76.86691,12/10/22 11:59
17,2,802,4429,11.3,0,0,1.05,69,78,17.69,24.68,12/10/22 17:59,-1,43.241658,76.93755,12/10/22 11:59
19,2,9,450,12.8,6.03,0,0.39,84,96,17.61,27.05,12/10/22 17:59,-1,43.212825,76.920813,12/10/22 11:59
10,2,781,5779,10.6,5.55,0,0.76,64,72,18.66,23.8,12/10/22 17:59,-1,43.214086,76.898003,12/10/22 11:59
12,2,780,4571,6.09,0,0,0.57,47,54,17.75,21.67,12/10/22 17:59,-1,43.199581,76.894464,12/10/22 11:59
15,2,2,420,10,0,0,0.85,41,44,18.59,19.43,12/10/22 17:59,-1,43.238362,76.889989,12/10/22 11:59
14,2,337,1724,10.69,4.84,0,0,41,49,18.39,22.74,12/10/22 17:59,-1,43.24417,76.915991,12/10/22 11:59
18,2,741,4553,8.5,1.03,0,0.92,72,85,17.67,23.8,12/10/22 17:59,-1,43.237604,76.934758,12/10/22 11:59
11,2,334,1695,9.8,0.85,0,0.73,40,46,18.75,20.34,12/10/22 17:59,-1,43.235258,76.90451,12/10/22 11:59
13,2,285,1378,4.09,0.05,0,0.36,37,40,17.31,22.81,12/10/22 17:59,-1,43.203173,76.86691,12/10/22 11:59
17,2,802,4429,11.3,0,0,1.05,69,78,17.71,24.63,12/10/22 17:59,-1,43.241658,76.93755,12/10/22 11:59
19,2,9,450,12.8,6.03,0,0,84,96,17.6,27,12/10/22 17:59,-1,43.212825,76.920813,12/10/22 11:59
10,2,781,5779,10.6,5.55,0,0.76,64,72,18.66,23.81,12/10/22 17:59,-1,43.214086,76.898003,12/10/22 11:59
12,2,780,4571,6.09,0,0,0.57,47,54,17.75,21.66,12/10/22 17:59,-1,43.199581,76.894464,12/10/22 11:59
15,2,2,420,10,0,0,0.85,41,44,18.59,19.41,12/10/22 17:59,-1,43.238362,76.889989,12/10/22 11:59
14,2,337,1724,10.8,4.84,0,0.99,41,49,18.37,22.71,12/10/22 17:59,-1,43.24417,76.915991,12/10/22 11:59
18,2,741,4553,8.5,1.02,0,0.92,72,85,17.69,23.83,12/10/22 17:59,-1,43.237604,76.934758,12/10/22 11:59
11,2,334,1695,9.8,0.85,0,0.73,40,46,18.75,20.33,12/10/22 17:59,-1,43.235258,76.90451,12/10/22 11:59
13,2,285,1378,4.09,0.05,0,0.36,37,40,17.31,22.76,12/10/22 17:59,-1,43.203173,76.86691,12/10/22 11:59
17,2,802,4429,11.3,0,0,1.05,69,78,17.72,24.65,12/10/22 17:59,-1,43.241658,76.93755,12/10/22 11:59
19,2,9,450,12.8,6.03,0,0.39,84,96,17.59,26.99,12/10/22 17:59,-1,43.212825,76.920813,12/10/22 11:59
10,2,781,5779,10.6,5.55,0,0.76,64,72,18.66,23.81,12/10/22 17:59,-1,43.214086,76.898003,12/10/22 11:59
12,2,780,4571,6.09,0,0,0.57,47,54,17.76,21.65,12/10/22 17:59,-1,43.199581,76.894464,12/10/22 11:59
15,2,2,420,10.1,0,0,0.85,41,44,18.6,19.4,12/10/22 17:59,-1,43.238362,76.889989,12/10/22 11:59
18,2,741,4553,8.5,1.02,0,0.92,72,85,17.7,23.86,12/10/22 17:59,-1,43.237604,76.934758,12/10/22 11:59
11,2,334,1695,9.8,0.86,0,0.73,40,46,18.75,20.32,12/10/22 17:59,-1,43.235258,76.90451,12/10/22 11:59
13,2,285,1378,4.19,0.05,0,0.36,37,40,17.31,22.73,12/10/22 17:59,-1,43.203173,76.86691,12/10/22 11:59
19,2,9,450,12.8,6.03,0,0.39,84,96,17.58,26.99,12/10/22 17:59,-1,43.212825,76.920813,12/10/22 11:59
10,2,781,5779,10.6,5.55,0,0.76,64,70,18.66,23.8,12/10/22 17:59,-1,43.214086,76.898003,12/10/22 11:59
12,2,780,4571,6.09,0,0,0.57,47,54,17.76,21.64,12/10/22 17:59,-1,43.199581,76.894464,12/10/22 11:59
14,2,337,1724,10.8,4.84,0,0.99,41,49,18.35,22.59,12/10/22 17:59,-1,43.24417,76.915991,12/10/22 11:59
15,2,2,420,10.1,0,0,0.85,41,44,18.61,19.38,12/10/22 17:59,-1,43.238362,76.889989,12/10/22 11:59
16,2,317,3022,12.39,5.55,0,0.74,109,112,19.27,22.34,12/10/22 17:59,-1,43.246817,76.877159,12/10/22 11:59
18,2,741,4553,8.5,1.03,0,0,72,85,17.7,23.91,12/10/22 17:59,-1,43.237604,76.934758,12/10/22 11:59
11,2,334,1695,9.8,0.87,0,0.72,40,46,18.74,20.31,12/10/22 17:59,-1,43.235258,76.90451,12/10/22 11:59
13,2,285,1378,4.19,0.05,0,0.36,37,40,17.3,22.7,12/10/22 17:59,-1,43.203173,76.86691,12/10/22 11:59
17,2,802,4429,11.3,0,0,1.05,69,78,17.75,24.68,12/10/22 17:59,-1,43.241658,76.93755,12/10/22 11:59
19,2,9,450,12.8,6.05,0,0,84,96,17.56,26.97,12/10/22 17:59,-1,43.212825,76.920813,12/10/22 11:59
10,2,781,5779,10.5,5.55,0,0,64,70,18.65,23.81,12/10/22 17:59,-1,43.214086,76.898003,12/10/22 11:59
12,2,780,4571,6.09,0,0,0.57,47,54,17.77,21.63,12/10/22 17:59,-1,43.199581,76.894464,12/10/22 11:59
14,2,337,1724,10.89,4.84,0,0,41,49,18.34,22.36,12/10/22 17:59,-1,43.24417,76.915991,12/10/22 11:59
15,2,2,420,10.1,0,0,0.85,41,44,18.61,19.38,12/10/22 17:59,-1,43.238362,76.889989,12/10/22 11:59
18,2,741,4553,8.5,1.03,0,0.92,72,85,17.71,23.92,12/10/22 17:59,-1,43.237604,76.934758,12/10/22 11:59
11,2,334,1695,9.8,0.87,0,0.72,40,46,18.74,20.32,12/10/22 17:59,-1,43.235258,76.90451,12/10/22 11:59
13,2,285,1378,4.19,0.05,0,0.31,37,40,17.29,22.7,12/10/22 17:59,-1,43.203173,76.86691,12/10/22 11:59
17,2,802,4429,11.3,0,0,1.05,69,78,17.75,24.65,12/10/22 17:59,-1,43.241658,76.93755,12/10/22 11:59
19,2,9,450,12.8,6.05,0,0.39,84,96,17.56,26.96,12/10/22 17:59,-1,43.212825,76.920813,12/10/22 11:59
10,2,781,5779,10.5,5.55,0,0.76,64,70,18.64,23.82,12/10/22 17:59,-1,43.214086,76.898003,12/10/22 11:59
12,2,780,4571,6.09,0,0,0.57,47,54,17.77,21.64,12/10/22 17:59,-1,43.199581,76.894464,12/10/22 11:59
14,2,337,1724,10.89,4.84,0,0.99,41,49,18.32,22.21,12/10/22 17:59,-1,43.24417,76.915991,12/10/22 11:59
15,2,2,420,10.1,0,0,0.85,41,44,18.61,19.37,12/10/22 17:59,-1,43.238362,76.889989,12/10/22 11:59
18,2,741,4553,8.5,1.03,0,0,72,85,17.71,23.91,12/10/22 17:59,-1,43.237604,76.934758,12/10/22 11:59
11,2,334,1695,9.89,0.88,0,0,40,46,18.75,20.32,12/10/22 17:59,-1,43.235258,76.90451,12/10/22 11:59
13,2,285,1378,4.19,0.05,0,0.35,37,40,17.28,22.74,12/10/22 17:59,-1,43.203173,76.86691,12/10/22 11:59
17,2,802,4429,11.3,0,0,1.05,69,78,17.77,24.58,12/10/22 17:59,-1,43.241658,76.93755,12/10/22 11:59
19,2,9,450,12.8,6.07,0,0.4,84,96,17.55,26.99,12/10/22 17:59,-1,43.212825,76.920813,12/10/22 11:59
10,2,781,5779,10.5,5.55,0,0.76,64,70,18.63,23.84,12/10/22 17:59,-1,43.214086,76.898003,12/10/22 11:59
12,2,780,4571,6.09,0,0,0.57,43,47,17.77,21.63,12/10/22 17:59,-1,43.199581,76.894464,12/10/22 11:59
14,2,337,1724,10.89,4.82,0,0,41,49,18.32,22.19,12/10/22 17:59,-1,43.24417,76.915991,12/10/22 11:59
15,2,2,420,10.1,0,0,0.85,41,44,18.63,19.37,12/10/22 17:59,-1,43.238362,76.889989,12/10/22 11:59
18,2,741,4553,8.39,1.03,0,0.92,72,85,17.7,23.9,12/10/22 17:59,-1,43.237604,76.934758,12/10/22 11:59
11,2,334,1695,9.89,0.89,0,0.72,40,46,18.74,20.32,12/10/22 17:59,-1,43.235258,76.90451,12/10/22 11:59
13,2,285,1378,4.19,0.05,0,0.35,37,40,17.27,22.78,12/10/22 17:59,-1,43.203173,76.86691,12/10/22 11:59
17,2,802,4429,11.3,0,0,1.05,69,78,17.77,24.49,12/10/22 17:59,-1,43.241658,76.93755,12/10/22 11:59
10,2,781,5779,10.5,5.55,0,0.76,64,70,18.63,23.89,12/10/22 17:59,-1,43.214086,76.898003,12/10/22 11:59
12,2,780,4571,6.09,0,0,0.57,43,47,17.77,21.62,12/10/22 17:59,-1,43.199581,76.894464,12/10/22 11:59
14,2,337,1724,10.89,4.82,0,0.98,41,49,18.32,22.17,12/10/22 17:59,-1,43.24417,76.915991,12/10/22 11:59
15,2,2,420,10.1,0,0,0.85,41,44,18.63,19.35,12/10/22 17:59,-1,43.238362,76.889989,12/10/22 11:59
18,2,741,4553,8.39,1.03,0,0,65,69,17.7,23.9,12/10/22 17:59,-1,43.237604,76.934758,12/10/22 11:59
11,2,334,1695,9.89,0.89,0,0,40,46,18.74,20.32,12/10/22 17:59,-1,43.235258,76.90451,12/10/22 11:59
13,2,285,1378,4.19,0.05,0,0.35,37,40,17.28,22.82,12/10/22 17:59,-1,43.203173,76.86691,12/10/22 11:59
17,2,802,4429,11.3,0,0,1.05,69,78,17.79,24.37,12/10/22 17:59,-1,43.241658,76.93755,12/10/22 11:59
19,2,9,450,12.8,6.07,0,0.4,84,96,17.55,26.97,12/10/22 17:59,-1,43.212825,76.920813,12/10/22 11:59
10,2,781,5779,10.5,5.55,0,0.76,64,70,18.61,23.9,12/10/22 17:59,-1,43.214086,76.898003,12/10/22 11:59
